token,frequency,possible_split,part1_frequency,part2_frequency,book,chapter,verse,context
guardadores,1,guarda dores,220,51,1 Crônicas,9,19,"E Salum, filho de Coré, filho de Ebiasafe, filho de Corá, e seus irmãos da casa de seu pai, os coraítas, tinham cargo da obra do ministério e eram guardas dos umbrais do tabernáculo; e seus pais foram capitães do arraial do Senhor e guardadores da entrada."
habitadores,1,habita dores,65,51,1 Crônicas,9,2,"E os primeiros habitadores, que moravam nas suas possessões e nas suas cidades, foram os israelitas, os sacerdotes, os levitas e os netineus."
desejas,1,de sejas,24404,50,Mateus,15,28,"Então, respondeu Jesus e disse-lhe: Ó mulher, grande é a tua fé. Seja isso feito para contigo, como tu desejas. E, desde aquela hora, a sua filha ficou sã."
contrato,2,contra to,1670,49,Rute,4,7,"Havia, pois, já de muito tempo este costume em Israel, quanto à remissão e contrato, para confirmar todo negócio, que o homem descalçava o sapato e o dava ao seu próximo; e isto era por testemunho em Israel."
tomais,2,to mais,49,1373,Neemias,5,7,"E considerei comigo mesmo no meu coração; depois, pelejei com os nobres e com os magistrados e disse-lhes: Usura tomais cada um de seu irmão. E ajuntei contra eles um grande ajuntamento."
toquem,1,to quem,49,1235,Rute,2,9,"Os teus olhos estarão atentos no campo que segarem, e irás após elas; não dei ordem aos moços, que te não toquem? Tendo tu sede, vai aos vasos e bebe do que os moços tirarem."
viveria,1,viver ia,49,85,2 Samuel,1,10,"Arremessei-me, pois, sobre ele, e o matei, porque bem sabia eu que não viveria depois da sua queda, e tomei a coroa que tinha na cabeça e a manilha que trazia no braço, e as trouxe aqui a meu senhor."
voltadas,2,volta das,49,1631,Êxodo,25,20,"Os querubins estenderão as suas asas por cima, cobrindo com as suas asas o propiciatório; as faces deles, uma defronte da outra; as faces dos querubins estarão voltadas para o propiciatório."
batalharei,1,batalha rei,48,2503,Apocalipse,2,16,"Arrepende-te, pois; quando não, em breve virei a ti e contra eles batalharei com a espada da minha boca."
comesses,1,com esses,5170,48,Gênesis,3,11,E Deus disse: Quem te mostrou que estavas nu? Comeste tu da árvore de que te ordenei que não comesses?
livrareis,1,livrar eis,48,1303,Josué,2,13,"de que dareis a vida a meu pai e a minha mãe, como também a meus irmãos e a minhas irmãs, com tudo o que têm, e de que livrareis as nossas vidas da morte."
livraria,1,livrar ia,48,85,Jó,23,7,"Ali, o reto pleitearia com ele, e eu me livraria para sempre do meu juiz."
pusestes,2,pus estes,48,528,Deuteronômio,4,11,"E vós vos chegastes, e vos pusestes ao pé do monte; e o monte ardia em fogo até ao meio dos céus, e havia trevas, e nuvens, e escuridão."
sobrevim,1,sobre vim,2943,48,Atos,23,27,"Este homem foi preso pelos judeus; e, estando já a ponto de ser morto por eles, sobrevim eu com a soldadesca e o livrei, informado de que era romano."
viesses,1,vi esses,139,48,Gênesis,27,33,"Então, estremeceu Isaque de um estremecimento muito grande e disse: Quem, pois, é aquele que apanhou a caça e ma trouxe? Eu comi de tudo, antes que tu viesses, e abençoei-o; também será bendito."
contadas,2,conta das,47,1631,Êxodo,38,21,"Esta é a enumeração das coisas contadas do tabernáculo do Testemunho, que por ordem de Moisés foram contadas para o ministério dos levitas por mão de Itamar, filho de Arão, o sacerdote."
contadores,1,conta dores,47,51,Jeremias,33,13,"Nas cidades das montanhas, e nas cidades das planícies, e nas cidades do Sul, e na terra de Benjamim, e nos contornos de Jerusalém, e nas cidades de Judá, ainda passará o gado pelas mãos dos contadores, diz o Senhor."
contato,2,conta to,47,49,Números,5,2,"Ordena aos filhos de Israel que lancem fora do arraial a todo leproso, e a todo o que padece fluxo, e a todos os imundos por causa de contato com algum morto."
sarada,1,sara da,47,7168,Levítico,14,3,"e o sacerdote sairá fora do arraial e o sacerdote, examinando, eis que, se a praga da lepra do leproso for sarada,"
sarados,2,sara dos,47,5149,Isaías,53,5,"Mas ele foi ferido pelas nossas transgressões e moído pelas nossas iniquidades; o castigo que nos traz a paz estava sobre ele, e, pelas suas pisaduras, fomos sarados."
guardariam,1,guardar iam,46,59,Neemias,10,29,"firmemente aderiram a seus irmãos, os mais nobres de entre eles, e convieram num anátema e num juramento, de que andariam na Lei de Deus, que foi dada pelo ministério de Moisés, servo de Deus; e de que guardariam e cumpririam todos os mandamentos do Senhor, nosso Senhor, e os seus juízos e os seus estatutos;"
masmorra,1,mas morra,2938,44,Isaías,24,22,"E serão amontoados como presos em uma masmorra, e serão encerrados em um cárcere, e serão visitados depois de muitos dias."
conheceras,1,conhecer as,43,5792,João,4,10,"Jesus respondeu e disse-lhe: Se tu conheceras o dom de Deus e quem é o que te diz: Dá-me de beber, tu lhe pedirias, e ele te daria água viva."
conhecerem,2,conhecer em,43,6227,2 Timóteo,2,25,"instruindo com mansidão os que resistem, a ver se, porventura, Deus lhes dará arrependimento para conhecerem a verdade"
conheceria,1,conhecer ia,43,85,Romanos,7,7,"Que diremos, pois? É a lei pecado? De modo nenhum! Mas eu não conheci o pecado senão pela lei; porque eu não conheceria a concupiscência, se a lei não dissesse: Não cobiçarás."
demorada,1,de morada,24404,43,Provérbios,13,12,"A esperança demorada enfraquece o coração, mas o desejo chegado é árvore de vida."
descereis,1,descer eis,43,1303,2 Crônicas,20,16,"Amanhã, descereis contra eles; eis que sobem pela ladeira de Ziz, e os achareis no fim do vale, diante do deserto de Jeruel."
descerem,2,descer em,43,6227,Números,16,30,"Mas, se o Senhor criar alguma coisa nova, e a terra abrir a sua boca e os tragar com tudo o que é seu, e vivos descerem ao sepulcro, então, conhecereis que estes homens irritaram ao Senhor."
namorada,1,na morada,3095,43,Gênesis,34,8,"Então, falou Hamor com eles, dizendo: A alma de Siquém, meu filho, está namorada da vossa filha; dai-lha, peço-vos, por mulher."
segada,2,sega da,43,7168,Amós,7,1,"O Senhor Jeová assim me fez ver: eis que ele formava gafanhotos no princípio do rebento da erva serôdia, e eis que era a erva serôdia depois da segada do rei."
segareis,1,sega reis,43,333,Levítico,25,11,"O ano quinquagésimo vos será jubileu; não semeareis, nem segareis o que nele nascer de si mesmo, nem nele vindimareis as uvas das vides não tratadas."
bordada,2,borda da,41,7168,Êxodo,28,4,"Estas, pois, são as vestes que farão: um peitoral, e um éfode, e um manto, e uma túnica bordada, e uma mitra, e um cinto; farão, pois, vestes santas a Arão, teu irmão, e a seus filhos, para me administrarem o ofício sacerdotal."
bordado,1,borda do,41,10449,Ezequiel,27,7,"Linho fino bordado do Egito era a tua cortina, para te servir de vela; azul e púrpura das ilhas de Elisá eram a tua cobertura."
derredor,2,der redor,41,271,Lucas,4,14,"Então, pela virtude do Espírito, voltou Jesus para a Galileia, e a sua fama correu por todas as terras em derredor."
guardasse,2,guardas se,41,6927,1 Samuel,7,1,"Então, vieram os homens de Quiriate-Jearim, e levaram a arca do Senhor, e a trouxeram à casa de Abinadabe, no outeiro; e consagraram Eleazar, seu filho, para que guardasse a arca do Senhor."
receberia,1,receber ia,41,85,Mateus,25,27,"devias, então, ter dado o meu dinheiro aos banqueiros, e, quando eu viesse, receberia o que é meu com os juros."
secado,2,seca do,41,10449,Josué,5,1,"E sucedeu que, ouvindo todos os reis dos amorreus que habitavam desta banda do Jordão, ao ocidente, e todos os reis dos cananeus que estavam ao pé do mar que o Senhor tinha secado as águas do Jordão, de diante dos filhos de Israel, até que passamos, derreteu-se-lhes o coração, e não houve mais ânimo neles, por causa dos filhos de Israel."
tirariam,1,tirar iam,41,59,Provérbios,22,27,"Se não tens com que pagar, por que tirariam a tua cama de debaixo de ti?"
comedor,1,come dor,59,40,Juízes,14,14,"Então, lhes disse: Do comedor saiu comida, e doçura saiu do forte. E em três dias não puderam declarar o enigma."
conhecedor,2,conhece dor,55,40,Êxodo,21,29,"Mas, se o boi dantes era escornador, e o seu dono foi conhecedor disso e não o guardou, matando homem ou mulher, o boi será apedrejado, e também o seu dono morrerá."
detiveram,1,de tiveram,24404,40,Jeremias,14,10,"Assim diz o Senhor acerca deste povo: Pois que tanto amaram o afastar-se e não detiveram os pés; por isso, o Senhor se não agrada deles, mas agora se lembrará da maldade deles e visitará os seus pecados."
dizedor,1,dize dor,97,40,Ezequiel,20,49,"Então, disse eu: Ah! Senhor Jeová! Eles dizem de mim: Não é este um dizedor de parábolas?"
falador,1,fala dor,163,40,Jó,11,2,"Porventura, não se dará resposta à multidão de palavras? E o homem falador será justificado?"
fazedor,1,faze dor,101,40,Tiago,1,25,"Aquele, porém, que atenta bem para a lei perfeita da liberdade e nisso persevera, não sendo ouvinte esquecido, mas fazedor da obra, este tal será bem-aventurado no seu feito."
guardador,1,guarda dor,220,40,Gênesis,4,9,"E disse o Senhor a Caim: Onde está Abel, teu irmão? E ele disse: Não sei; sou eu guardador do meu irmão?"
nadador,1,nada dor,266,40,Isaías,25,11,"E Moabe estenderá as mãos por entre eles, como as estende o nadador para nadar; mas o Senhor abaterá a sua altivez, apesar da perícia das suas mãos."
orador,1,ora dor,256,40,Atos,24,1,"Cinco dias depois, o sumo sacerdote, Ananias, desceu com os anciãos e um certo Tértulo, orador, os quais compareceram perante o governador contra Paulo."
portador,1,porta dor,434,40,2 Samuel,18,20,"Mas Joabe lhe disse: Tu não serás hoje o portador das novas, porém outro dia as levarás; mas hoje não darás a nova, porque é morto o filho do rei."
profetizadores,1,profetiza dores,40,51,Ezequiel,13,2,"Filho do homem, profetiza contra os profetas de Israel que são profetizadores e dize aos que só profetizam o que vê o seu coração: Ouvi a palavra do Senhor."
profetizarei,1,profetiza rei,40,2503,Miqueias,2,11,"Se houver algum que siga o seu espírito de falsidade, mentindo e dizendo: Eu te profetizarei acerca do vinho e da bebida forte; será esse tal o profeta deste povo."
tirador,1,tira dor,57,40,Deuteronômio,29,11,"os vossos meninos, as vossas mulheres e o estrangeiro que está no meio do teu arraial; desde o rachador da tua lenha até ao tirador da tua água;"
Benaiaeram,1,benaia eram,39,307,2 Crônicas,31,13,"Jeiel, e Azarias, e Naate, e Asael, e Jerimote, e Jozabade, e Eliel, e Ismaquias, e Maate, e Benaiaeram superintendentes sob a direção de Conanias e Simei, seu irmão, por mandado do rei Ezequias e de Azarias, maioral da Casa de Deus."
comoverá,1,como verá,3763,39,Amós,8,8,"Por causa disso, não se comoverá a terra? E não chorará todo aquele que habita nela? Certamente, levantar-se-á toda como o grande rio, e será arrojada, e se submergirá como o rio do Egito."
deverá,1,de verá,24404,39,2 Reis,11,8,"E rodeareis o rei, cada um com as suas armas nas mãos, e aquele que entrar entre as fileiras deverá ser morto; e vós estareis com o rei quando sair e quando entrar."
medireis,2,me direis,2111,39,Números,35,5,"E de fora da cidade, da banda do oriente, medireis dois mil côvados, e da banda do sul, dois mil côvados, e da banda do ocidente, dois mil côvados, e da banda do norte, dois mil côvados, e a cidade no meio; isto terão por arrabaldes das cidades."
buscados,1,busca dos,38,5149,Obadias,1,6,Como foram buscados os bens de Esaú! Como foram esquadrinhados os seus esconderijos!
chamaria,1,chamar ia,38,85,Gênesis,2,19,"Havendo, pois, o Senhor Deus formado da terra todo animal do campo e toda ave dos céus, os trouxe a Adão, para este ver como lhes chamaria; e tudo o que Adão chamou a toda a alma vivente, isso foi o seu nome."
cometereis,2,come tereis,59,38,Levítico,19,35,"Não cometereis injustiça no juízo, nem na vara, nem no peso, nem na medida."
Elimas,1,eli mas,38,2938,Atos,13,8,"Mas resistia-lhes Elimas, o encantador (porque assim se interpreta o seu nome), procurando apartar da fé o procônsul."
Elisua,2,eli sua,38,3999,2 Samuel,5,15,"e Ibar, e Elisua, e Nefegue, e Jafia,"
metereis,1,me tereis,2111,38,Números,20,12,"E o Senhor disse a Moisés e a Arão: Porquanto não me crestes a mim, para me santificar diante dos filhos de Israel, por isso não metereis esta congregação na terra que lhes tenho dado."
receberei,1,recebe rei,38,2503,2 Coríntios,6,17,"Pelo que saí do meio deles, e apartai-vos, diz o Senhor; e não toqueis nada imundo, e eu vos receberei;"
selados,2,se lados,6927,38,Efésios,1,13,"em quem também vós estais, depois que ouvistes a palavra da verdade, o evangelho da vossa salvação; e, tendo nele também crido, fostes selados com o Espírito Santo da promessa;"
aborrecereis,1,aborrece reis,37,333,Provérbios,1,22,"Até quando, ó néscios, amareis a necedade? E vós, escarnecedores, desejareis o escárnio? E vós, loucos, aborrecereis o conhecimento?"
saídos,1,saí dos,37,5149,Atos,13,42,"E, saídos os judeus da sinagoga, os gentios rogaram que no sábado seguinte lhes fossem ditas as mesmas coisas."
buscaria,1,buscar ia,36,85,Jó,5,8,"Mas quanto a mim eu buscaria a Deus, e a ele dirigiria a minha fala."
entenderem,1,entender em,35,6227,Provérbios,1,2,Para se conhecer a sabedoria e a instrução; para se entenderem as palavras da prudência;
entenderia,2,entender ia,35,85,Jó,23,5,Saberia as palavras com que ele me responderia e entenderia o que me dissesse.
entenderiam,1,entender iam,35,59,Atos,7,25,E ele cuidava que seus irmãos entenderiam que Deus lhes havia de dar a liberdade pela sua mão; mas eles não entenderam.
cessarem,1,cessar em,34,6227,Eclesiastes,12,3,"no dia em que tremerem os guardas da casa, e se curvarem os homens fortes, e cessarem os moedores, por já serem poucos, e se escurecerem os que olham pelas janelas;"
cessaria,1,cessar ia,34,85,Neemias,6,3,"E enviei-lhes mensageiros a dizer: Estou fazendo uma grande obra, de modo que não poderei descer; por que cessaria esta obra, enquanto eu a deixasse e fosse ter convosco?"
deitaria,1,deitar ia,34,85,Êxodo,22,27,"porque aquela é a sua cobertura e a veste da sua pele; em que se deitaria? Será, pois, que, quando clamar a mim, eu o ouvirei, porque sou misericordioso."
deixariam,2,deixar iam,34,59,Jeremias,49,9,"Se vindimadores viessem a ti, não deixariam alguns rabiscos? Se ladrões, de noite, não te danificariam quanto julgassem suficiente?"
dorido,1,dor ido,40,34,Salmos,55,4,"O meu coração está dorido dentro de mim, e terrores de morte sobre mim caíram."
parapeito,1,para peito,8233,34,Deuteronômio,22,8,"Quando edificares uma casa nova, farás no telhado um parapeito, para que não ponhas culpa de sangue na tua casa, se alguém de alguma maneira cair dela."
permanecerei,1,permanece rei,34,2503,Filipenses,1,25,"E, tendo esta confiança, sei que ficarei e permanecerei com todos vós para proveito vosso e gozo da fé,"
querido,2,quer ido,134,34,Salmos,4,3,"Sabei, pois, que o Senhor separou para si aquele que lhe é querido; o Senhor ouvirá quando eu clamar a ele."
temido,2,tem ido,638,34,Josué,4,14,"Naquele dia, o Senhor engrandeceu a Josué diante dos olhos de todo o Israel; e temeram-no, como haviam temido a Moisés, todos os dias da sua vida."
amoreira,1,amor eira,276,33,Lucas,17,6,"E disse o Senhor: Se tivésseis fé como um grão de mostarda, diríeis a esta amoreira: Desarraiga-te daqui e planta-te no mar, e ela vos obedeceria."
eirado,2,eira do,33,10449,1 Samuel,9,25,"Então, desceram do alto para a cidade; e falou com Saul sobre o eirado."
forçasse,1,forças se,33,6927,Ester,1,8,"E o beber era, por lei, feito sem que ninguém forçasse a outro; porque assim o tinha ordenado o rei expressamente a todos os grandes da sua casa que fizessem conforme a vontade de cada um."
Quemcrê,1,quem crê,1235,33,João,3,18,"Quemcrê nele não é condenado; mas quem não crê já está condenado, porquanto não crê no nome do unigênito Filho de Deus."
tornada,1,torna da,33,7168,Jeremias,46,19,"Prepara-te para ires para o cativeiro, ó moradora, filha do Egito; porque Nofe será tornada em desolação e será abrasada, até que ninguém mais aí more."
andadura,1,anda dura,83,31,1 Crônicas,14,15,"e há de ser que, ouvindo tu um ruído de andadura pelas copas das amoreiras, então, sai à peleja; porque Deus haverá saído diante de ti, a ferir o exército dos filisteus."
bordadura,2,borda dura,41,31,Ezequiel,16,10,"Também te vesti de bordadura, e te calcei com pele de texugo, e te cingi de linho fino, e te cobri de seda."
julgareis,1,julgar eis,31,1303,Salmos,82,2,Até quando julgareis injustamente e respeitareis a aparência da pessoa dos ímpios? (Selá)
julgarem,2,julgar em,31,6227,Ezequiel,44,24,"E, quando houver pleito, eles assistirão a ele para o julgarem; pelos meus juízos o julgarão; e as minhas leis e os meus estatutos em todas as minhas solenidades guardarão e os meus sábados santificarão."
saltais,1,sal tais,31,66,Salmos,68,16,"Por que saltais, ó montes elevados? Este é o monte que Deus desejou para sua habitação, e o Senhor habitará nele eternamente."
saltem,1,sal tem,31,638,2 Samuel,1,20,"Não o noticieis em Gate, não o publiqueis nas ruas de Asquelom, para que não se alegrem as filhas dos filisteus, para que não saltem de contentamento as filhas dos incircuncisos."
salvai,2,sal vai,31,236,Jeremias,48,6,"Fugi, salvai a vossa vida e sereis como a tamargueira no deserto."
salvem,2,sal vem,31,267,Lucas,8,12,"e os que estão junto do caminho, estes são os que ouvem; depois, vem o diabo e tira-lhes do coração a palavra, para que se não salvem, crendo;"
ajuntados,1,ajunta dos,30,5149,Levítico,26,25,"Porque trarei sobre vós a espada, que executará a vingança do concerto; e ajuntados estareis nas vossas cidades; então, enviarei a peste entre vós, e sereis entregues na mão do inimigo."
ajuntareis,2,ajunta reis,30,333,Neemias,4,20,"No lugar onde ouvirdes o som da buzina, ali vos ajuntareis conosco; o nosso Deus pelejará por nós."
banqueteiam,1,banquete iam,30,59,2 Pedro,2,13,"recebendo o galardão da injustiça; pois que tais homens têm prazer nos deleites cotidianos; nódoas são eles e máculas, deleitando-se em seus enganos, quando se banqueteiam convosco;"
cágado,1,cá gado,30,132,Levítico,11,29,"Estes também vos serão por imundos entre os répteis que se arrastam sobre a terra: a doninha, e o rato, e o cágado segundo a sua espécie,"
seguirem,2,seguir em,30,6227,Ezequiel,14,5,"para que possa apanhar a casa de Israel no seu coração, porquanto todos se apartaram de mim para seguirem os seus ídolos."
alcançareis,2,alcançar eis,29,1303,Josué,2,5,"E aconteceu que, havendo-se de fechar a porta, sendo já escuro, aqueles homens saíram; não sei para onde aqueles homens se foram; ide após eles depressa, porque vós os alcançareis."
atentarei,2,atenta rei,29,2503,Salmos,119,95,"Os ímpios me esperam para me destruírem, mas eu atentarei para os teus testemunhos."
atentareis,1,atenta reis,29,333,Deuteronômio,1,17,"Não atentareis para pessoa alguma em juízo, ouvireis assim o pequeno como o grande; não temereis a face de ninguém, porque o juízo é de Deus; porém a causa que vos for difícil fareis vir a mim, e eu a ouvirei."
clamareis,1,clama reis,29,333,1 Samuel,8,18,"Então, naquele dia, clamareis por causa do vosso rei, que vós houverdes escolhido; mas o Senhor não vos ouvirá naquele dia."
devamos,1,de vamos,24404,29,Atos,4,12,"E em nenhum outro há salvação, porque também debaixo do céu nenhum outro nome há, dado entre os homens, pelo qual devamos ser salvos."
escolheria,2,escolher ia,29,85,Jó,7,15,"pelo que a minha alma escolheria, antes, a estrangulação; e, antes, a morte do que estes meus ossos."
levantamos,1,levantam os,29,13856,Salmos,20,8,"Uns encurvam-se e caem, mas nós nos levantamos e estamos de pé."
salvarem,2,salvar em,29,6227,2 Reis,7,7,"Pelo que se levantaram, e fugiram no crepúsculo, e deixaram as suas tendas, e os seus cavalos, e os seus jumentos, e o arraial como estava; e fugiram para salvarem a sua vida."
salvaria,2,salvar ia,29,85,Mateus,24,22,"E, se aqueles dias não fossem abreviados, nenhuma carne se salvaria; mas, por causa dos escolhidos, serão abreviados aqueles dias."
Amoque,2,amo que,28,21851,Neemias,12,7,"Salu, Amoque, Hilquias e Jedaías; estes foram os chefes dos sacerdotes e de seus irmãos, nos dias de Jesua."
cumpririam,2,cumprir iam,28,59,Neemias,10,29,"firmemente aderiram a seus irmãos, os mais nobres de entre eles, e convieram num anátema e num juramento, de que andariam na Lei de Deus, que foi dada pelo ministério de Moisés, servo de Deus; e de que guardariam e cumpririam todos os mandamentos do Senhor, nosso Senhor, e os seus juízos e os seus estatutos;"
praticamos,1,praticam os,28,13856,1 João,1,6,"Se dissermos que temos comunhão com ele e andarmos em trevas, mentimos e não praticamos a verdade."
aconteceria,1,acontecer ia,27,85,Jonas,4,5,"Então, Jonas saiu da cidade, e assentou-se ao oriente da cidade, e ali fez uma cabana, e se assentou debaixo dela, à sombra, até ver o que aconteceria à cidade."
antemuros,1,ante muros,27,60,Isaías,26,1,"Naquele dia, se entoará este cântico na terra de Judá: Uma forte cidade temos, a quem Deus pôs a salvação por muros e antemuros."
anunciareis,1,anunciar eis,27,1303,Isaías,48,6,"Já o tens ouvido; olha bem para tudo isto; porventura, não o anunciareis? Desde agora, te faço ouvir coisas novas e ocultas, que nunca conheceste."
anunciaria,1,anunciar ia,27,85,Ester,8,13,"E uma cópia da carta, que uma ordem se anunciaria em todas as províncias, foi enviada a todos os povos, para que os judeus estivessem preparados para aquele dia, para se vingarem dos seus inimigos."
caiados,1,caia dos,27,5149,Mateus,23,27,"Ai de vós, escribas e fariseus, hipócritas! Pois que sois semelhantes aos sepulcros caiados, que por fora realmente parecem formosos, mas interiormente estão cheios de ossos de mortos e de toda imundícia."
comandavam,1,com andavam,5170,27,2 Reis,11,15,"Porém o sacerdote Joiada deu ordem aos centuriões que comandavam as tropas e disse-lhes: Tirai-a para fora das fileiras, e a quem a seguir, matai-o à espada. Porque o sacerdote disse: Não a matem na Casa do Senhor."
comemoração,1,comem oração,27,103,Hebreus,10,3,"Nesses sacrifícios, porém, cada ano, se faz comemoração dos pecados,"
ensinaria,2,ensinar ia,27,85,Jó,21,22,"Porventura, a Deus se ensinaria ciência, a ele que julga os excelsos?"
formada,2,forma da,27,7168,2 Crônicas,23,4,"Esta é a coisa que haveis de fazer: uma terça parte de vós, sacerdotes e levitas que entram de sábado, será formada de porteiros;"
formadas,1,forma das,27,1631,Salmos,139,16,"Os teus olhos viram o meu corpo ainda informe, e no teu livro todas estas coisas foram escritas, as quais iam sendo dia a dia formadas, quando nem ainda uma delas havia."
jurareis,2,jurar eis,27,1303,Levítico,19,12,"nem jurareis falso pelo meu nome, pois profanaríeis o nome do vosso Deus. Eu sou o Senhor."
medirei,2,me direi,2111,27,Salmos,60,6,"Deus disse na sua santidade: Eu me regozijarei, repartirei a Siquém e medirei o vale de Sucote."
venhamos,2,venham os,27,13856,Gênesis,38,23,"Então, disse Judá: Tome-o ela, para que porventura não venhamos a cair em desprezo; eis que tenho enviado este cabrito, mas tu não a achaste."
abriria,2,abrir ia,26,85,Jó,41,14,Quem abriria as portas do seu rosto? Pois em roda dos seus dentes está o terror.
amargurado,1,amargura do,26,10449,2 Samuel,17,8,"Disse mais Husai: Bem conheces tu a teu pai e a seus homens, que são valorosos e que estão com o espírito amargurado, como a ursa no campo, roubada dos cachorros; também teu pai é homem de guerra, e não passará a noite com o povo."
amargurados,1,amargura dos,26,5149,Jó,3,20,"Por que se dá luz ao miserável, e vida aos amargurados de ânimo,"
antepassados,2,ante passados,27,26,Levítico,26,45,"Antes, por amor deles, me lembrarei do concerto com os seus antepassados, que tirei da terra do Egito perante os olhos das nações, para lhes ser por Deus. Eu sou o Senhor."
assentareis,2,assentar eis,26,1303,Êxodo,14,2,"Fala aos filhos de Israel que voltem e que acampem diante de Pi-Hairote, entre Migdol e o mar, diante de Baal-Zefom; em frente dele assentareis o campo junto ao mar."
assentaria,1,assentar ia,26,85,1 Reis,1,27,"Foi feito isso da parte do rei, meu senhor? E não fizeste saber a teu servo quem se assentaria no trono do rei, meu senhor, depois dele?"
bebedor,1,bebe dor,26,40,Lucas,7,34,"Veio o Filho do Homem, que come e bebe, e dizeis: Eis aí um homem comilão e bebedor de vinho, amigo dos publicanos e dos pecadores."
bebedores,1,bebe dores,26,51,Salmos,69,12,Aqueles que se assentam à porta falam contra mim; sou a canção dos bebedores de bebida forte.
embebe,1,em bebe,6227,26,Hebreus,6,7,Porque a terra que embebe a chuva que muitas vezes cai sobre ela e produz erva proveitosa para aqueles por quem é lavrada recebe a bênção de Deus;
enviarem,1,enviar em,26,6227,Provérbios,22,21,"para te fazer saber a certeza das palavras de verdade, para que possas responder palavras de verdade aos que te enviarem?"
limparei,1,limpa rei,25,2503,2 Reis,21,13,"E estenderei sobre Jerusalém o cordel de Samaria e o prumo da casa de Acabe; e limparei Jerusalém, como quem limpa a escudela a limpa e a vira sobre a sua face."
livrada,1,livra da,25,7168,Miqueias,4,10,"Sofre dores e trabalhos, ó filha de Sião, como a que está de parto, porque agora sairás da cidade, e morarás no campo, e virás até Babilônia; ali, porém, serás livrada; ali te remirá o Senhor da mão de teus inimigos."
livrado,1,livra do,25,10449,Jó,40,14,"Então, também eu de ti confessarei que a tua mão direita te haverá livrado."
livrados,1,livra dos,25,5149,Amós,3,12,"Assim diz o Senhor: Como o pastor livra da boca do leão as duas pernas ou um pedacinho da orelha, assim serão livrados os filhos de Israel que habitam em Samaria, no canto da liteira e na barra do leito."
mostrarem,1,mostrar em,25,6227,Mateus,24,1,"E, quando Jesus ia saindo do templo, aproximaram-se dele os seus discípulos para lhe mostrarem a estrutura do templo."
mostraria,2,mostrar ia,25,85,Juízes,13,23,"Porém sua mulher lhe disse: Se o Senhor nos quisera matar, não aceitaria da nossa mão o holocausto e a oferta de manjares, nem nos mostraria tudo isto, nem nos deixaria ouvir tais coisas neste tempo."
pagador,1,paga dor,25,40,Isaías,33,18,"O teu coração considerará em assombro, dizendo: Onde está o escrivão? Onde está o pagador? Onde está o que conta as torres?"
provada,2,prova da,25,7168,Salmos,18,30,O caminho de Deus é perfeito; a palavra do Senhor é provada; é um escudo para todos os que nele confiam.
provadas,1,prova das,25,1631,Gênesis,42,16,"Enviai um dentre vós, que traga vosso irmão; mas vós ficareis presos, e vossas palavras serão provadas, se há verdade convosco; e, se não, pela vida de Faraó, vós sois espias."
confiada,2,confia da,24,7168,1 Coríntios,9,17,"E, por isso, se o faço de boa mente, terei prêmio; mas, se de má vontade, apenas uma dispensação me é confiada."
confiadas,1,confia das,24,1631,Romanos,3,2,"Muita, em toda maneira, porque, primeiramente, as palavras de Deus lhe foram confiadas."
confiados,2,confia dos,24,5149,Juízes,20,36,"E viram os filhos de Benjamim que estavam feridos, porque os homens de Israel deram lugar aos benjamitas, porquanto estavam confiados na emboscada que haviam posto contra Gibeá."
Nasceria,1,nascer ia,24,85,Isaías,66,8,Quem jamais ouviu tal coisa? Quem viu coisas semelhantes? Poder-se-ia fazer nascer uma terra em um só dia? Nasceria uma nação de uma só vez? Mas Sião esteve de parto e já deu à luz seus filhos.
perdoadas,1,perdoa das,24,1631,Romanos,4,7,"Bem-aventurados aqueles cujas maldades são perdoadas, e cujos pecados são cobertos."
perdoador,1,perdoa dor,24,40,Neemias,9,17,"E recusaram ouvir-te, e não se lembraram das tuas maravilhas, que lhes fizeste, e endureceram a sua cerviz, e na sua rebelião levantaram um chefe, a fim de voltarem para a sua servidão; porém tu, ó Deus perdoador, clemente e misericordioso, tardio em irar-te, e grande em beneficência, tu os não desamparaste,"
plantado,2,planta do,24,10449,Ezequiel,36,36,"Então, saberão as nações que ficarem de resto em redor de vós que eu, o Senhor, tenho reedificado as cidades destruídas e plantado o que estava devastado; eu, o Senhor, o disse e o farei."
plantadores,1,planta dores,24,51,Jeremias,31,5,Ainda plantarás vinhas nos montes de Samaria; os plantadores plantarão e comerão dos frutos.
plantareis,2,planta reis,24,333,Jeremias,35,7,"não edificareis casa, nem semeareis semente, não plantareis, nem possuireis vinha alguma; mas habitareis em tendas todos os vossos dias, para que vivais muitos dias sobre a face da terra em que vós andais peregrinando."
produzia,1,produz ia,24,85,Ezequiel,17,6,"E brotou e tornou-se numa videira mui larga, de pouca altura, virando-se para ela os seus ramos, porque as suas raízes estavam debaixo dela; e tornou-se numa videira, e produzia sarmentos, e lançava renovos."
produzido,1,produz ido,24,34,Lucas,12,16,"E propôs-lhes uma parábola, dizendo: a herdade de um homem rico tinha produzido com abundância."
produzira,1,produz ira,24,338,Números,17,8,"Sucedeu, pois, que no dia seguinte Moisés entrou na tenda do Testemunho, e eis que a vara de Arão, pela casa de Levi, florescia; porque produzira flores, e brotara renovos, e dera amêndoas."
